Filename,Avg_nDCG@5,Avg_nDCG@10,Avg_nDCG@50,Avg_nDCG
output-file@Top_5@Lambda_0.05,0.438960104516999,0.4273201971828110,0.44754533665493400,0.437941879451581
output-file@Top_15@Lambda_0.05,0.43981964309920100,0.4249570477249180,0.44591705408455100,0.436897914969557
output-file@Top_20@Lambda_0.05,0.4410156657090970,0.42452279729094200,0.4450498205674460,0.436862761189162
output-file@Top_10@Lambda_0.05,0.4383162893414790,0.4250263934857380,0.44640780837562500,0.436583497067614
output-file@Top_5@Lambda_0.1,0.4288206329591670,0.4234015764766790,0.4410115142651390,0.4310779079003280
output-file@Top_5@Lambda_0.15,0.42708088954045500,0.4260950580148400,0.4388346969479430,0.430670214834413
output-file@Top_10@Lambda_0.1,0.42695235805547400,0.4220988435417620,0.440399138363004,0.429816779986747
output-file@Top_15@Lambda_0.1,0.4266323763619430,0.4214929632004510,0.4393324444051570,0.4291525946558500
output-file@Top_20@Lambda_0.1,0.4245716578654660,0.420151182496066,0.43745256905996000,0.427391803140497
output-file@Top_20@Lambda_0.15,0.4208625987428880,0.42107654932853800,0.4354705898366800,0.425803245969369
output-file@Top_10@Lambda_0.3,0.4165222920600390,0.41659349892263600,0.43548152798864000,0.422865772990438
output-file@Top_10@Lambda_0.15,0.4196435764824060,0.4146117792751690,0.43344804168875300,0.422567799148776
output-file@Top_15@Lambda_0.15,0.41999483301424500,0.4141712702670860,0.43297520805589600,0.422380437112409
output-file@Top_15@Lambda_0.3,0.4180316908212940,0.4144505654203920,0.43433320369743800,0.422271819979708
output-file@Top_20@Lambda_0.3,0.4133283382915850,0.4165682443348760,0.4355839724285930,0.4218268516850180
output-file@Top_5@Lambda_0.3,0.41499672857816300,0.41453582681753700,0.43136170206359600,0.42029808581976500
output-file@Top_20@Lambda_0.45,0.40872972046222000,0.4080307988400500,0.42398749967569600,0.413582672992655
output-file@Top_5@Lambda_0.45,0.40740842112093300,0.39904243741406600,0.42489727159803500,0.41044937671101100
output-file@Top_15@Lambda_0.45,0.4018486577960140,0.40445962550113900,0.42131283190688700,0.409207038401347
output-file@Top_10@Lambda_0.45,0.3814404201132650,0.39450774436668200,0.41634530477339500,0.397431156417781
output-file@Top_20@Lambda_0.6,0.3813891287356580,0.3703828074065710,0.4029145763172180,0.3848955041531490
output-file@Top_5@Lambda_0.6,0.357150895427218,0.3715979233106610,0.40803557496547500,0.378928131234451
output-file@Top_15@Lambda_0.6,0.355229058066093,0.36611759918825100,0.39802859378630500,0.373125083680216
output-file@Top_10@Lambda_0.6,0.3423130757630030,0.3591113822594820,0.38920750139232900,0.363543986471605
output-file@Top_5@Lambda_0.75,0.34271142559076300,0.3442181582817130,0.3887342271840820,0.358554603685519
output-file@Top_20@Lambda_0.75,0.3312916871191730,0.34680030293309100,0.3785589006347140,0.352216963562326
output-file@Top_10@Lambda_0.75,0.3185573832580700,0.3354653517181960,0.3739624775523700,0.3426617375095450
output-file@Top_15@Lambda_0.75,0.32288624021851400,0.32887672488478800,0.369952827836217,0.34057193097984
output-file@Top_5@Lambda_0.9,0.3046262831333160,0.30597026133694100,0.36452645954178800,0.325041001337348
output-file@Top_20@Lambda_0.9,0.26902599061985300,0.2744866561946890,0.3272793018436640,0.290263982886069
output-file@Top_10@Lambda_0.9,0.25147558691022900,0.2783783378683530,0.3291755652492790,0.28634316334262
output-file@Top_15@Lambda_0.9,0.23767732002466100,0.2550949231880940,0.32197391376774900,0.271582052326835